City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Port Hardy,50.6996,-127.4199,48.38,49,75,18.41,CA,2022-04-13 00:30:09
67,Pemangkat,1.1667,108.9667,80.37,83,85,3.78,ID,2022-04-13 00:30:46
68,Cap Malheureux,-19.9842,57.6142,78.48,84,21,5.99,MU,2022-04-13 00:33:08
69,Ilulissat,69.2167,-51.1,17.62,73,20,4.61,GL,2022-04-13 00:33:08
70,Qaanaaq,77.484,-69.3632,-0.78,100,100,3.24,GL,2022-04-13 00:33:09
71,Penzance,50.1186,-5.5371,52.48,95,56,10.92,GB,2022-04-13 00:33:10
72,Lasa,46.6166,10.7002,49.08,87,100,1.23,IT,2022-04-13 00:33:10
73,Las Cruces,32.3123,-106.7783,77.38,20,40,36.82,US,2022-04-13 00:29:56
74,Axim,4.8699,-2.2405,81.19,83,100,6.22,GH,2022-04-13 00:33:11
75,Belmonte,-15.8631,-38.8828,78.91,77,30,4.12,BR,2022-04-13 00:33:11
76,Pevek,69.7008,170.3133,-0.47,72,100,1.81,RU,2022-04-13 00:33:12
77,Kidal,18.4411,1.4078,83.62,6,5,12.15,ML,2022-04-13 00:30:24
78,Barrow,71.2906,-156.7887,1.42,66,0,9.22,US,2022-04-13 00:33:12
79,Fort Morgan,40.2503,-103.8,43.45,17,75,32.21,US,2022-04-13 00:33:13
80,Uyskoye,54.3775,60.0047,36.86,94,100,5.95,RU,2022-04-13 00:33:13
81,Poum,-20.2333,164.0167,78.57,65,0,12.57,NC,2022-04-13 00:33:14
82,Alofi,-19.0595,-169.9187,76.89,88,75,8.05,NU,2022-04-13 00:33:14
83,Egvekinot,66.3167,-179.1667,7.02,85,98,11.41,RU,2022-04-13 00:33:15
84,Mayo,38.8876,-76.5119,72.55,69,20,4.61,US,2022-04-13 00:33:15
85,Haicheng,40.8516,122.7475,54.25,24,74,12.77,CN,2022-04-13 00:33:16
86,Goderich,43.7501,-81.7165,52.12,62,100,4.61,CA,2022-04-13 00:33:16
87,Umm Kaddadah,13.6017,26.6876,78.04,11,58,8.61,SD,2022-04-13 00:33:17
88,Mount Isa,-20.7333,139.5,89.37,33,100,14.97,AU,2022-04-13 00:33:17
89,Aklavik,68.2191,-135.0107,29.43,86,57,10.87,CA,2022-04-13 00:33:18
90,Port Alfred,-33.5906,26.891,65.17,95,88,7.54,ZA,2022-04-13 00:33:18
91,Jamestown,42.097,-79.2353,52.95,44,46,3.27,US,2022-04-13 00:30:25
92,Brae,60.3964,-1.353,43.68,85,100,16.6,GB,2022-04-13 00:33:19
93,Ribeira Grande,38.5167,-28.7,62.73,79,100,22.79,PT,2022-04-13 00:33:20
94,Shimoda,34.6667,138.95,73.11,85,100,9.31,JP,2022-04-13 00:34:20
95,Olafsvik,64.8945,-23.7142,37.31,73,97,9.19,IS,2022-04-13 00:34:21
96,Kavieng,-2.5744,150.7967,85.3,67,5,9.62,PG,2022-04-13 00:34:21
97,Piura,-5.2,-80.6333,76.51,61,17,17.69,PE,2022-04-13 00:34:22
98,Bredasdorp,-34.5322,20.0403,64.4,76,100,4.41,ZA,2022-04-13 00:34:22
99,Esperance,-33.8667,121.9,62.44,76,56,7.99,AU,2022-04-13 00:34:23
100,Hermanus,-34.4187,19.2345,64.44,81,100,4.56,ZA,2022-04-13 00:34:23
101,Avarua,-21.2078,-159.775,84.25,74,75,4.61,CK,2022-04-13 00:34:23
102,Carutapera,-1.195,-46.02,76.15,93,88,5.12,BR,2022-04-13 00:34:24
103,Ancona,43.55,13.1667,53.67,64,75,2.3,IT,2022-04-13 00:34:24
104,Sao Filipe,14.8961,-24.4956,70.65,76,100,12.01,CV,2022-04-13 00:34:25
105,Sur,22.5667,59.5289,85.64,30,0,6.44,OM,2022-04-13 00:34:25
106,Lewistown,40.5992,-77.5714,62.01,51,0,0.0,US,2022-04-13 00:34:26
107,Kilindoni,-7.9139,39.6668,82.15,73,100,12.55,TZ,2022-04-13 00:34:26
108,Marica,-22.9194,-42.8186,80.55,91,44,8.14,BR,2022-04-13 00:34:27
109,Kruisfontein,-34.0033,24.7314,63.41,75,0,2.73,ZA,2022-04-13 00:34:27
110,Belozerskoye,55.8214,65.5842,41.09,68,100,11.48,RU,2022-04-13 00:34:28
111,Keti Bandar,24.1447,67.4497,78.66,82,0,13.33,PK,2022-04-13 00:34:29
112,Cabo San Lucas,22.8909,-109.9124,79.61,70,100,12.01,MX,2022-04-13 00:30:37
113,Winnemucca,40.973,-117.7357,42.85,22,0,17.27,US,2022-04-13 00:34:29
114,Chengam,12.3,78.8,77.22,84,100,1.79,IN,2022-04-13 00:34:30
115,Khatanga,71.9667,102.5,7.68,89,100,10.27,RU,2022-04-13 00:34:30
