City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Mahebourg,MU,-20.4081,57.7,77.29,83,75,19.57,light intensity shower rain
79,Belyy Yar,RU,53.6039,91.3903,53.49,33,0,4.47,clear sky
80,Hobart,AU,-42.8794,147.3294,66.02,61,75,9.22,broken clouds
81,Ribeira Grande,PT,38.5167,-28.7,59.74,71,100,4.7,overcast clouds
82,Sakaiminato,JP,35.55,133.2333,57.18,44,75,13.8,broken clouds
83,Saldanha,ZA,-33.0117,17.9442,53.65,62,1,14.03,clear sky
84,Santa Cruz,BO,-17.8,-63.1667,65.66,82,75,5.75,broken clouds
85,Praia,CV,14.9215,-23.5087,70.34,68,75,13.8,broken clouds
86,Roebourne,AU,-20.7833,117.1333,94.42,25,9,13.76,clear sky
87,Namatanai,PG,-3.6667,152.4333,85.23,68,27,6.13,scattered clouds
88,Hershey,US,40.2859,-76.6503,58.98,41,0,12.66,clear sky
89,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,71,20,4.61,few clouds
90,Carnot,CF,4.9409,15.8665,68.25,97,57,0.43,broken clouds
91,Thunder Bay,CA,48.4001,-89.3168,24.3,68,100,14.97,overcast clouds
92,Marabba,SD,12.35,32.1833,84.76,50,100,8.5,overcast clouds
93,Isangel,VU,-19.55,169.2667,89.71,66,40,5.75,light rain
94,Pundaguitan,PH,6.3711,126.1689,82.15,73,75,2.95,broken clouds
95,La Ronge,CA,55.1001,-105.2842,25.05,33,100,0.0,overcast clouds
96,Newport,GB,51.5877,-2.9984,51.64,90,33,2.37,scattered clouds
97,Usvyaty,RU,55.7456,30.7533,33.22,92,100,10.45,overcast clouds
98,Qaanaaq,GL,77.484,-69.3632,-9.02,98,100,2.01,overcast clouds
99,Naryan-Mar,RU,67.6713,53.087,15.96,91,26,6.49,scattered clouds
100,Monte Patria,CL,-30.6919,-70.9467,59.5,64,0,1.45,clear sky
101,Jamestown,US,42.097,-79.2353,49.59,69,100,6.91,overcast clouds
102,Geraldton,AU,-28.7667,114.6,77.41,69,40,16.11,scattered clouds
103,Port Elizabeth,ZA,-33.918,25.5701,52.09,87,0,4.61,clear sky
104,Nanortalik,GL,60.1432,-45.2371,27.34,80,91,7.34,overcast clouds
105,Auki,SB,-8.7676,160.7034,85.28,65,100,3.09,overcast clouds
106,Butaritari,KI,3.0707,172.7902,81.81,73,55,10.67,light rain
107,Gizo,SB,-8.103,156.8419,84.2,71,100,4.18,overcast clouds
108,Ahar,IR,38.4774,47.0699,41.81,64,100,6.76,overcast clouds
109,Esperance,AU,-33.8667,121.9,75.04,55,63,8.7,broken clouds
110,Cachoeirinha,BR,-29.9511,-51.0939,63.32,91,0,3.44,clear sky
111,Klyuchi,RU,52.2667,79.1667,60.21,20,0,15.75,clear sky
112,Bindi,SL,9.9167,-11.45,73.83,52,23,2.84,few clouds
113,Chuy,UY,-33.6971,-53.4616,59.49,71,67,6.11,broken clouds
114,Barrow,US,71.2906,-156.7887,6.82,72,0,25.32,light snow
115,Aklavik,CA,68.2191,-135.0107,0.5,92,97,5.79,overcast clouds
116,Tautira,PF,-17.7333,-149.15,80.92,72,25,15.5,scattered clouds
117,Makakilo City,US,21.3469,-158.0858,74.68,68,75,16.11,broken clouds
118,Grindavik,IS,63.8424,-22.4338,46.87,93,100,36.82,light intensity drizzle
119,Laguna,US,38.421,-121.4238,62.74,54,100,9.22,overcast clouds
120,Cozumel,MX,20.5083,-86.9458,78.01,83,6,5.99,clear sky
121,Tessalit,ML,20.1986,1.0114,68.13,23,9,10.56,clear sky
122,Bandarbeyla,SO,9.4942,50.8122,84.11,65,68,7.0,broken clouds
123,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.34,86,60,8.28,broken clouds
124,Ukiah,US,39.1502,-123.2078,50.65,92,100,4.61,overcast clouds
125,Yerbogachen,RU,61.2767,108.0108,32.14,73,100,7.2,overcast clouds
126,Norman Wells,CA,65.282,-126.8329,12.24,48,20,10.36,few clouds
127,Jibuti,DJ,11.5,42.5,74.62,73,74,7.78,broken clouds
128,Sorland,NO,67.667,12.6934,41.99,94,100,27.18,overcast clouds
129,Port Alfred,ZA,-33.5906,26.891,60.19,69,80,5.1,broken clouds
